Descripcion,precio final,categoria,,569,electro
AURICULARES + MIC GAMEMAX HG200 7 COLORES 3.5MM,44.64174,auriculares,,002-0280,rams
AURICULARES + MIC GAMEMAX HG3500 USB 7.1 RGB,61.29255,auriculares,,002-0281,memorias
AURICULARES + MIC GENIUS HS-300N PLEGABLE,15.38636,auriculares,,002-0299,accesorios
AURICULARES + MIC GENIUS HS-G600V GAMING VIBRACION,50.20532,auriculares,,002-0320,monitores
AURICULARES + MIC GENIUS HS-M505X P/ NOTEBOOK,25.75485,auriculares,,002-0361,notebooks
AURICULARES + MIC LOGITECH GAMING G332,88.85756,auriculares,,002-0368,tablets
AURICULARES + MIC MSI GAMING HEADSET DS501 JACK3.5,39.1314,auriculares,,002-0510,accesorios
AURICULARES + MIC MSI GAMING HEADSET GH50 USB,105.66809,auriculares,,002-0553,vga
AURICULARES + MIC MSI IMMERSE GH20,37.36117,auriculares,,002-0670,accesorios
AURICULARES + MIC MSI IMMERSE GH30 V2,58.98992,auriculares,,002-0997,pc
AURICULARES + MIC PHILIPS SHL5005/00 NEGRO,26.65993,auriculares,,003-0099,accesorios
AURICULARES + MIC VCOM DE160U USB BLACK,58.40428,auriculares,,003-0367,accesorios
AURICULARES ADATA XPG EMIX H20 RGB,52.77415,auriculares,,003-0800,electro
AURICULARES ADATA XPG EMIX H20 RGB CAJA DA�ADA,50.13877,auriculares,,003-1000,electro
AURICULARES ADATA XPG PRECOG,173.40268,auriculares,,904-0152,electro
AURICULARES ADATA XPG PRECOG ANALOG,148.12699,auriculares,,907-1555,smartwatch
AURICULARES APPLE AIRPODS 2DA GEN,211.61855,auriculares,,908-957,electro
AURICULARES FOXBOX BOOST LINK PRO NEGRO,12.2452,auriculares,,001-0371,impresion
AURICULARES FOXBOX PLUG 3.5 GLOW ROSA,7.8529,auriculares,,001-0460,impresion
AURICULARES GENIUS HS-M900BT BT5.0 BLACK,20.08006,auriculares,,001-0460,impresion
AURICULARES HAYLOU G003 GAMING BLACK BLUETOOTH,88.46409,auriculares,,001-0528,redes
AURICULARES HAYLOU GT1 BLACK BLUETOOTH 2022 EDITIO,45.50832,auriculares,,IT-T4E,#N/A
AURICULARES HAYLOU GT5 BLACK BLUETOOTH,42.90715,auriculares,,IT-TS5C,#N/A
AURICULARES HAYLOU GT7 NEO BLACK BLUETOOTH,39.491595,auriculares,,IT-TSL42,#N/A
AURICULARES HAYLOU GT7 NEO PURPLE BLUETOOTH,39.491595,auriculares,,IT-TSL42,soportes
AURICULARES HAYLOU MORIPODS ANC WHITE,61.200425,auriculares,,IT-T4E,soportes
AURICULARES HAYLOU PURFREE BC01 CONDUCCION OSEA BK,161.36978,auriculares,,,
AURICULARES HAYLOU W1 BLUE BLUETOOTH,74.80187,auriculares,,,
AURICULARES HAYLOU X1 NEO BLACK BLUETOOTH,37.02413,auriculares,,,
AURICULARES HAYLOU X1 NEO WHITE BLUETOOTH,37.02413,auriculares,,,
AURICULARES HAYLOU X1 PRO BLACK BLUETOOTH,89.4608,auriculares,,,
AURICULARES JBL TOUR ONE BLUETOOTH SUPRAURAL,490.89942,auriculares,,,
AURICULARES JBL TUNE 115TWS EARBUDS BLUETOOTH WHIT,109.79419,auriculares,,,
AURICULARES LENOVO XG01 BLUETOOTH NEGROS,54.004665,auriculares,,,
AURICULARES LOGITECH PS4 GREY/BLUE ( I ),110.56188,auriculares,,,
AURICULARES LOGITECH PS4 WHITE ( I ),110.56188,auriculares,,,
AURICULARES PHILIPS BLUETOOTH TAT2206WT,67.253615,auriculares,,,
AURICULARES PHILIPS IN EAR BLUETOOTH SHQ6500CL/00,51.48858,auriculares,,,
AURICULARES PHILIPS ON EAR BLUETOOTH TAH4205WT,70.097885,auriculares,,,
AURICULARES PHILIPS TAE4105BK/00,16.81053,auriculares,,,
AURICULARES PHILIPS TAE4205BK/00,36.80534,auriculares,,,
AURICULARES PHILIPS TAE4205WT/00,36.80534,auriculares,,,
AURICULARES PHILIPS TAH1205BK/00 On Ear Bluetooth,45.958055,auriculares,,,
AURICULARES PHILIPS TAH4105BK/00 VINCHA,35.15171,auriculares,,,
AURICULARES PHILIPS TAH4105WT/00 VINCHA,35.15171,auriculares,,,
AURICULARES PHILIPS TAT2205BK/00 On Ear Bluetooth,64.05685,auriculares,,,
AURICULARES PHILIPS TAUE100BK/00,8.73136,auriculares,,,
AURICULARES PHILIPS TAUE101BK/00,12.3783,auriculares,,,
AURICULARES PRIMUS HDSR ARCUS 100T 3.5MM BLACK,37.279385,auriculares,,,
AURICULARES PRIMUS HDSR ARCUS 90T 3.5MM BLACK,27.482455,auriculares,,,
AURICULARES REALME TECHLIFE BUDS T100 WHITE BLUETO,58.85451,auriculares,,,
AURICULARES SYX  A3 GAMING,28.81615,auriculares,,,
AURICULARES SYX BLUETOOTH CS-PS567 NEGRO,28.43016,auriculares,,,
AURICULARES SYX PS5 CX-PS561 BLANCO 3.5MM,25.71492,auriculares,,,
AURICULARES+MIC  MOTOROLA  XT120  VINCHA BLANCO,56.1682,auriculares,,,
AURICULARES+MIC  MOTOROLA  XT120  VINCHA NEGRO,56.1682,auriculares,,,
AURICULARES+MIC  MOTOROLA  XT200  VINCHA BLANCO,63.44877,auriculares,,,
AURICULARES+MIC  MOTOROLA  XT200  VINCHA NEGRO,63.44877,auriculares,,,
AURICULARES+MIC  MOTOROLA IN EAR 105  AZUL,13.33662,auriculares,,,
AURICULARES+MIC  MOTOROLA IN EAR 105  NEGRO,13.33662,auriculares,,,
AURICULARES+MIC  MOTOROLA IN EAR 3S BLACK,14.72086,auriculares,,,
AURICULARES+MIC  MOTOROLA IN EAR 3S BLANCO,14.72086,auriculares,,,
AURICULARES+MIC  MOTOROLA IN EAR 3S TURQUESA,14.72086,auriculares,,,
AURICULARES+MIC MOTOROLA  XT220 VINCHA BLANCO,78.28942,auriculares,,,
AURICULARES+MIC MOTOROLA  XT220 VINCHA NEGRO,78.28942,auriculares,,,
AURICULARES+MIC MOTOROLA  XT500 PLUS  VINCHA BLACK,96.71046,auriculares,,,
AVERMEDIA AVERKEY LITE PC TO TV CONVERTER,109.24848,accesorios,,,
BALUN PASIVO CYGNUS BH01B VIDEO BNC-UTP,6.22908,camaras,,,
BALUN PASIVO SOLO VIDEO BNC TVI-HDCVI OVER UTP,5.23083,camaras,,,
BANDEJA 19` 1U-300MM GLC FIJA LIVIANA,39.02492,cables,,,
BANDEJA 19` 1U-400MM GLC DESLIZABLE,81.13776,cables,,,
BANDEJA 19` 2U-400 GLC FIJA LIVIANA,111.804,cables,,,
BANDEJA APC DESLIZ P/TECLADO 17,592.21514,electro,,,
BANDEJA DUPLEX P/ X560N 14A1121,205.674755,impresion,,,
BANDEJA DUPLEX SAMSUNG ML-U4050A P/ ML-4050N,8.63819,impresion,,,
BANDEJA FURUKAWA FO DIO B48 - MODULO BASICO,145.49161,cables,,,
Bandeja Gabitel Vent 2U 400 (N),77.3311,electro,,,
BANDEJA LEXMARK 550 HOJAS E250/350/450/X340/342,91.223275,impresion,,,
BANDEJA SAMSUNG P/ ML-3310ND/ML-3710ND/ML-3750,182.36031,electro,,,
BANDEJA SAMSUNG P/M3820ND/M4020ND/M4072  520 HOJAS,103.818,impresion,,,
BANDEJA SAMSUNG SCX-S6555A P/ SCX-6545N 520 HOJAS,87.81938,impresion,,,
BAR CODE CARD 10Z0400  LEXMARK  C780/C782,616.2585,impresion,,,
BARRA DE SONIDO PHILIPS 2.0 BLUETOOTH TAB5105/12,232.17964,parlantes,,,
BARRA DE SONIDO TCL 2.0 BLUETOOTH TS6100,224.60625,parlantes,,,
BASE P/LECTOR HONEYWELL XENON 1950G 15 CM RIGIDA,63.42479,electro,,,
BASE P/LECTOR HONEYWELL XENON 1950G 22CM FLEXIBLE,38.981085,electro,,,
BATERIA APC EASY SRV 240V TOWER PARA 6/10KVA,1423.38471,electro,,,
BATERIA APC EASY SRV 36V PACK TORRE,628.75109,electro,,,
BATERIA APC EASY SRV 72V  2KVA AND 3KVA TORRE,1075.42138,electro,,,
BATERIA APC SMART-UPS RC 96V PACK,2350.62586,electro,,,
BATERIA APC SMART-UPS XL 24V,565.42211,electro,,,
BATERIA APC SRT 192V 5KVA AND 6KVA,3124.17644,electro,,,
BATERIA APC SRT 192V 8KVA AND 10KVA,3519.27048,electro,,,
BATERIA APC SYMMETRA SYBT9,5411.24705,electro,,,
BATERIA CELULAR 1500MAH (CX402E),8.22558,accesorios,,,
BATERIA CELULAR 1800MAH CX502E,8.79791,accesorios,,,
BATERIA EM903N P/ECS (USAR 50197),162.02263,accesorios,,,
BATERIA HP 12 CELDAS ULTRA CAPACIDAD - (AT486AA),165.24365,accesorios,,,
BATERIA HP C3059A P/HP DESKJET 340,126.59141,accesorios,,,
BATERIA P/INALAMBRICO TIPO#1 TL26144 GE,7.22733,accesorios,,,
BATERIA P/NOTEBOOK ASUS W7JN,309.76363,accesorios,,,
BATERIA P/UPS 12V 9.0 AH TRV LP12-9.0,41.68692,electro,,,
BATIDORA DE MANO 2801 ROJA - STICK MIXER 2801 RED,153.78374,electro,,,
BATIDORA DE MANO OSTER  MIXER 3532,51.52301,electro,,,
BATIDORA DE MANO OSTER 2600 MIXER 2600,58.31111,electro,,,
BATIDORA DE MANO PEABODY PE-HM550 BLANCA,39.21126,electro,,,
BATIDORA DE MANO PEABODY PE-HM550 ROJA,39.21126,electro,,,
BATIDORA DE MANO SL-HM1035 (PN),48.39516,electro,,,
BATIDORA DE MANO SL-HM5035,73.96367,electro,,,
BATIDORA OSTER PLANETARIA SM3710  750W,197.97294,electro,,,
BIBLIOTEC.A1195 ALTA PTAS MEL Y MET,381.85059,electro,,,
BIBLIOTECA 1196 ALTA PTA ENTERA METAL,439.58937,electro,,,
BIBLIOTECA 1851 SUPERIOR 91x116x24 NEGRO/CEDRO,115.06495,electro,,,
BIBLIOTECA ALTA CIEGA QUICKLINE (NEGRO-CEDRO),173.46923,electro,,,
BN07-00955A PANTALLA LCS;PARA TELEVISOR,32.35661,accesorios,,,
"BN96-09624L ASSY COVER P-FRONT;LS23EF(P2370H),PMMA",49.85926,accesorios,,,
BOOTEO REMOTE 3CM3C90X P/N2000 3C900/905,41.971215,accesorios,,,
BORRADORA FULLM P/IBM 82 CARBON CF581,1.13135,accesorios,,,
BORRADORA OREJA PANAS OLIV.221 F588 FULLMARK,0.87846,accesorios,,,
"BOTELLA BROTHER BT-5001 6,000 PAG (AMARILLO)",11.00737,impresion,,,
"BOTELLA BROTHER BT-5001 6,000 PAG (CYAN)",11.00737,impresion,,,
"BOTELLA BROTHER BT-5001 6,000 PAG (MAGENTA)",11.00737,impresion,,,
"BOTELLA BROTHER BT-6001 6,000 PAG (NEGRO)",14.74748,impresion,,,
"BOTELLA BROTHER BTD-60BK 6,500 PAG (NEGRO)",14.74748,impresion,,,
"BOTELLA CANON GI-190BK 6,000 PAG (NEGRO)",18.32787,impresion,,,
"BOTELLA CANON GI-190C 6,000 PAG (CYAN)",18.32787,impresion,,,
"BOTELLA CANON GI-190M  6,000 PAG (MAGENTA)",18.32787,impresion,,,
"BOTELLA CANON GI-190Y 6,000 PAG (YELLOW)",18.32787,impresion,,,
BOTELLA EPSON T49H100 NEGRO P/T3170X 140 ML,39.3976,impresion,,,
BOTELLA EPSON T49H200 CYAN P/T3170X 140 ML,39.3976,impresion,,,
BOTELLA EPSON T49H300 MAGENTA P/T3170X 140 ML,39.3976,impresion,,,
BOTELLA EPSON T49H400 AMARILLO P/T3170X 140 ML,39.3976,impresion,,,
BOTELLA EPSON T504120-AL NEGRO P/L4150/60/61/71/91,25.78147,impresion,,,
BOTELLA EPSON T504220-AL CYAN P/L4150/60/61/71/91,17.76885,impresion,,,
BOTELLA EPSON T504320-AL MAGENTA P/L4150/60/61/71,17.76885,impresion,,,
BOTELLA EPSON T504420-AL AMARILLO P/L4150/60/61/71,17.76885,impresion,,,
BOTELLA EPSON T534120-AL NEGRO P/M1120-M2120-M3170,37.61406,impresion,,,
BOTELLA EPSON T544220-AL CYAN P/L3110/50/3210/3250,17.76885,impresion,,,
BOTELLA EPSON T544320-AL MAGENTA P/L3110/3210/3250,17.76885,impresion,,,
BOTELLA EPSON T544420-AL AMARILLO P/3110/3210/3250,17.76885,impresion,,,
BOTELLA EPSON T555120-AL NEGRO FOTO P/L8160/L8180,33.44803,impresion,,,
BOTELLA EPSON T555220-AL CYAN P/L8160/L8180,33.44803,impresion,,,
BOTELLA EPSON T555320-AL MAGENTA P/L8160/L8180,33.44803,impresion,,,
BOTELLA EPSON T664120-AL NEGRO P/L355/380/395/475,17.76885,impresion,,,
BOTELLA EPSON T664220-AL CYAN P/L355/380/395/475,17.76885,impresion,,,
BOTELLA EPSON T664320-AL MAGENTA P/L355/380/395,17.76885,impresion,,,
BOTELLA EPSON T664420-AL AMARILLO P/L355/380/395,17.76885,impresion,,,
BOTELLA EPSON T673120-AL NEGRO P/L800/805/L1800,20.20458,impresion,,,
BOTELLA EPSON T673220-AL CYAN P/L800/805/1800,20.20458,impresion,,,
BOTELLA EPSON T673320-AL MAGENTA P/L800,20.20458,impresion,,,
BOTELLA EPSON T673420-AL AMARILLO P/L800,20.20458,impresion,,,
BOTELLA EPSON T673520-AL LIGHT CYAN P/L800,20.20458,impresion,,,
BOTELLA EPSON T774120-AL NEGRO P/M105/M205,39.50408,impresion,,,
BOTELLAS EPSON T504 BUNDLE X 4 COLORES B/C/M/Y,79.08802,impresion,,,
BOTELLAS EPSON T544 BUNDLE X 4 COLORES B/C/M/Y,71.0754,impresion,,,
BOTELLAS EPSON T664 BUNDLE X 4 COLORES B/C/M/Y,71.0754,impresion,,,
BOTELLAS EPSON T673 BUNDLE X 5 COLORES,101.04952,impresion,,,
BOTON POWER CONECTAR IGUALDAD 1,0.60775,accesorios,,,
BRACKET VESA P/ GAB MINI ITX T3310,7.280845,accesorios,,,
BRACKET VESA P/ GAB MINI ITX T3500,7.280845,accesorios,,,
BRIDGE ASUS ROG Enthusiast SLI Bridge,103.58491,accesorios,,,
BRIDGE SMC EliteConnect WIRELESS 2.4GHz 54Mbps,156.11882,redes,,,
BRIDGE SMC EliteConnect� WIRELESS 2.4GHz 11Mbps,108.71432,redes,,,
BROTHER CARTUCHO LC-1100HY 750 PAG (AMARILLO),1.373515,impresion,,,
BROTHER CINTA 3015 CORRECT SERIE GX X6,2.91489,impresion,,,
BUNDLE SERVER R450 + MEMORIA 16GB GRATIS,7789.55606,notebooks,,,
CABEZAL DE ST1500 NEGRO  46040,32.86712,accesorios,,,
CABLE  USB A-MICRO USB 5PIN DATA 1.5MTS BLANCO,1.91664,cables,,,
CABLE  USB A-TYPE C DATA 1.5MTS BLANCO,1.9965,cables,,,
CABLE 1.5 TRENZADO MOTOROLA USB  A TYPE C,25.20914,cables,,,
CABLE ALIMENTACION 1.80M C-07 CIN-0207 INTERLOCK,2.86165,cables,,,
CABLE ALIMENTACION 1.80M C-13 CPC-0113-N,7.5867,cables,,,
CABLE ALIMENTACION P.C. 1.8M,3.58039,cables,,,
CABLE ALIMENTACION P/NOT. 1.80M TREBOL (MICKEY),7.29388,cables,,,
CABLE ALIMENTACION PC NISUTA NS-CPO220A 220V 1.5M,4.55202,cables,,,
CABLE ALIMENTACION Y A 2 x 5 1/4 M a 5 1/4 H,2.67531,cables,,,
CABLE CHARGING SYX TYPE-C TO TYPE-C 1.5M,6.14922,auriculares,,,
CABLE CHARGING SYX USB TO TYPE-C,4.60526,auriculares,,,
CABLE CONSOLA Aruba X2C2 RJ45 to DB9,41.71596,accesorios,,,
CABLE D.PORT M/M PURESONIC - INTRACOM,17.92857,cables,,,
CABLE DATA 1.80 MM,2.75517,cables,,,
CABLE DATA 3M M/M,4.33906,cables,,,
CABLE DATA 7.5M M/M,8.63819,cables,,,
CABLE DPORT A DPORT PARA MONITOR DELL,28.80284,monitores,,,
CABLE DRIVE 1.44,0.54571,cables,,,
CABLE FIBRA IBM 10M LC (MACHO)) - LC (MACHO),58.23125,cables,,,
CABLE FTP CAT.5E GLC EXT. C/PORTANTE X 305MTS,390.80822,cables,,,
CABLE FTP CAT.5E GLC EXTERIOR X 305MTS,273.9198,cables,,,
CABLE FTP CAT.5E GLC MAX EXT. C/PORTANTE X 305MTS,604.9395,cables,,,
CABLE FTP CAT.6 GLC EXTERIOR MAX X305MT DobleVaina,624.98436,cables,,,
CABLE FURUKAWA F/UTP CAT.6A G.AUG LSZH x305mt GR,583.9097,cables,,,
CABLE FURUKAWA FO CFOT-MM-MF 06F (50) COR,3.950375,cables,,,
CABLE FURUKAWA FO F-LAN-AR IN/UOT 06F MM OM4 LSZH,5.457595,cables,,,
CABLE FURUKAWA FTP CAT.5E Multi CMX Out x305mts,533.91734,cables,,,
CABLE FURUKAWA FTP CAT.6 CM VM x1000mts,1809.52112,cables,,,
CABLE HDMI  V1.4 1080P 5 MTS NOGA,7.87952,cables,,,
CABLE HDMI 2.O  X 1.5OM INT.CO,7.01437,cables,,,
